"","AV_ID","target_time","mean_yProj","mean_xProj","n_points","lon","lat","date","time","Group"
"258","AV74119",2025-07-01 12:30:00,9929411.86371447,372147.795132224,12,-76.1489688441667,-0.638503488166596,2025-07-01,"12:30:00"," G"
"259","AV74119",2025-07-01 12:45:00,9929417.95829655,372142.576094515,12,-76.1490157274999,-0.638448349250068,2025-07-01,"12:45:00"," G"
"260","AV74119",2025-07-01 13:00:00,9929411.96168501,372143.808030913,12,-76.1490046699996,-0.63850259391622,2025-07-01,"13:00:00"," G"
"261","AV74119",2025-07-01 13:15:00,9929392.65935757,372187.055891761,12,-76.1486161058301,-0.63867728000315,2025-07-01,"13:15:00"," G"
"262","AV74119",2025-07-01 13:30:00,9929369.30844349,372206.278030114,12,-76.1484434324997,-0.638888538916902,2025-07-01,"13:30:00"," G"
"263","AV74119",2025-07-01 13:45:00,9929352.78433909,372162.359867842,12,-76.1488380916663,-0.639037918416619,2025-07-01,"13:45:00"," G"
"264","AV74119",2025-07-01 14:00:00,9929274.20554995,372153.622592279,12,-76.148916758334,-0.639748682916392,2025-07-01,"14:00:00"," G"
"265","AV74120",2025-07-04 07:15:00,9929009.66831589,372540.999945765,9,-76.1454365144446,-0.642142333222269,2025-07-04,"07:15:00"," C"
"266","AV74120",2025-07-04 07:30:00,9929011.97077096,372552.600001981,12,-76.1453322774999,-0.642121529916622,2025-07-04,"07:30:00"," C"
"267","AV74120",2025-07-04 07:45:00,9929017.92178996,372540.760058685,12,-76.1454386533327,-0.642067676083253,2025-07-04,"07:45:00"," C"
"268","AV74120",2025-07-04 08:00:00,9928960.94821688,372548.061608002,12,-76.1453731600021,-0.642583044333959,2025-07-04,"08:00:00"," C"
"269","AV74120",2025-07-04 08:15:00,9928933.8030478,372551.355770607,12,-76.1453436150001,-0.642828592166692,2025-07-04,"08:15:00"," C"
"270","AV74120",2025-07-04 08:30:00,9928926.76940319,372552.813304887,12,-76.1453305325,-0.642892217833388,2025-07-04,"08:30:00"," C"
"271","AV74122",2025-07-04 11:45:00,9928231.4737747,373263.791308411,12,-76.1389434316667,-0.649182954916694,2025-07-04,"11:45:00"," C"
"272","AV74122",2025-07-04 12:00:00,9928265.70658998,373252.261558703,12,-76.1390469633332,-0.648873278416791,2025-07-04,"12:00:00"," C"
"273","AV74123",2025-07-04 15:30:00,9930761.27090304,372250.412498024,9,-76.1480440955644,-0.626297667552998,2025-07-04,"15:30:00"," D"
"274","AV74123",2025-07-04 15:45:00,9930756.28242826,372222.915453944,11,-76.1482911790918,-0.626342736181418,2025-07-04,"15:45:00"," D"
"275","AV74123",2025-07-04 16:00:00,9930763.08946683,372188.333748877,12,-76.1486018983333,-0.626281094750108,2025-07-04,"16:00:00"," D"
"276","AV74123",2025-07-04 16:15:00,9930781.78874578,372199.47079525,10,-76.1485017900012,-0.626111973003162,2025-07-04,"16:15:00"," D"
"277","AV74123",2025-07-04 16:30:00,9930780.85324735,372192.946684156,10,-76.1485604140002,-0.626120422100188,2025-07-04,"16:30:00"," D"
"278","AV74123",2025-07-04 16:45:00,9930765.64424648,372188.556475552,10,-76.1485998920003,-0.62625798600201,2025-07-04,"16:45:00"," D"
"279","AV74124",2025-07-05 07:30:00,9930759.32768488,372201.807507775,9,-76.1484808377779,-0.626315148555434,2025-07-05,"07:30:00"," D"
"280","AV74124",2025-07-05 07:45:00,9930760.076381,372220.309480757,12,-76.1483145875002,-0.62630841291689,2025-07-05,"07:45:00"," D"
"281","AV74124",2025-07-05 08:00:00,9930721.11510269,372262.987950339,12,-76.1479311783329,-0.626660920750334,2025-07-05,"08:00:00"," D"
"282","AV74124",2025-07-05 08:15:00,9930704.49384567,372285.728681148,12,-76.147726875,-0.626811312999542,2025-07-05,"08:15:00"," D"
"283","AV74124",2025-07-05 08:30:00,9930651.8163414,372319.551306751,12,-76.1474230666662,-0.627287873166974,2025-07-05,"08:30:00"," D"
"284","AV74124",2025-07-05 08:45:00,9930657.3430516,372313.737106103,11,-76.1474752990918,-0.627237869908464,2025-07-05,"08:45:00"," D"
"285","AV74124",2025-07-05 09:00:00,9930652.93358636,372300.637627068,11,-76.1475930127284,-0.627277729637003,2025-07-05,"09:00:00"," D"
"286","AV74124",2025-07-05 09:15:00,9930640.65847449,372268.704981565,12,-76.1478799666667,-0.627388700500073,2025-07-05,"09:15:00"," D"
"287","AV74124",2025-07-05 09:30:00,9930631.2451016,372269.748864296,11,-76.1478706054517,-0.62747385100078,2025-07-05,"09:30:00"," D"
"288","AV74124",2025-07-05 09:45:00,9930637.19227499,372276.638737044,12,-76.1478086850008,-0.627420069666409,2025-07-05,"09:45:00"," D"
"289","AV74124",2025-07-05 10:00:00,9930624.89885549,372286.927791566,11,-76.1477162572719,-0.627531289909457,2025-07-05,"10:00:00"," D"
"290","AV74124",2025-07-05 10:15:00,9930613.20856648,372290.975566891,12,-76.1476799091666,-0.627637042167044,2025-07-05,"10:15:00"," D"
"291","AV74124",2025-07-05 10:30:00,9930603.57864242,372272.046111164,11,-76.1478500181744,-0.627724111826623,2025-07-05,"10:30:00"," D"
"292","AV74124",2025-07-05 10:45:00,9930637.67149364,372271.689251075,12,-76.1478531575,-0.62741572508333,2025-07-05,"10:45:00"," D"
"293","AV74124",2025-07-05 11:00:00,9930643.61986328,372275.718621323,12,-76.1478169399997,-0.627361927250144,2025-07-05,"11:00:00"," D"
"294","AV74124",2025-07-05 11:15:00,9930662.17155935,372266.724293707,12,-76.1478977216667,-0.627194100499943,2025-07-05,"11:15:00"," D"
"295","AV74124",2025-07-05 11:30:00,9930648.07506172,372266.884398434,12,-76.1478963108357,-0.627321610333246,2025-07-05,"11:30:00"," D"
"296","AV74124",2025-07-05 11:45:00,9930629.63077191,372233.8764336,12,-76.1481929391661,-0.627488382166997,2025-07-05,"11:45:00"," D"
"297","AV74124",2025-07-05 12:00:00,9930645.15013592,372204.284503045,12,-76.1484588058331,-0.627347943417209,2025-07-05,"12:00:00"," D"
"298","AV74124",2025-07-05 12:15:00,9930654.95289312,372181.973636789,11,-76.1486592600005,-0.627259228545586,2025-07-05,"12:15:00"," D"
"299","AV74124",2025-07-05 12:30:00,9930629.68326511,372177.600260693,12,-76.1486986066664,-0.627487795583494,2025-07-05,"12:30:00"," D"
"300","AV74124",2025-07-05 12:45:00,9930666.79645105,372175.44129921,11,-76.1487179327273,-0.627152084999984,2025-07-05,"12:45:00"," D"
"301","AV74124",2025-07-05 13:00:00,9930623.69180574,372139.055524512,12,-76.1490449608333,-0.627541914583451,2025-07-05,"13:00:00"," D"
"302","AV74124",2025-07-05 13:15:00,9930627.69945784,372145.859245751,12,-76.1489838183332,-0.627505677000006,2025-07-05,"13:15:00"," D"
"303","AV74124",2025-07-05 13:30:00,9930616.51299459,372154.623817808,12,-76.1489050866667,-0.627606881250042,2025-07-05,"13:30:00"," D"
"304","AV74124",2025-07-05 13:45:00,9930564.99253431,372116.01767725,12,-76.1492520825,-0.628072831333575,2025-07-05,"13:45:00"," D"
"305","AV74124",2025-07-05 14:00:00,9930555.61924841,372089.991402544,12,-76.1494859591664,-0.628157565333478,2025-07-05,"14:00:00"," D"
"306","AV74124",2025-07-05 14:15:00,9930579.01905902,372061.102841844,12,-76.14974549,-0.627945845583317,2025-07-05,"14:15:00"," D"
"307","AV74124",2025-07-05 14:30:00,9930563.60299941,372097.800857363,11,-76.1494157718175,-0.628085364091768,2025-07-05,"14:30:00"," D"
"308","AV74124",2025-07-05 14:45:00,9930503.8728452,372102.936212003,11,-76.149369746364,-0.628625661636767,2025-07-05,"14:45:00"," D"
"309","AV74124",2025-07-05 15:00:00,9930501.90638354,372149.129730998,12,-76.148954680001,-0.628643541167968,2025-07-05,"15:00:00"," D"
"310","AV74124",2025-07-05 15:15:00,9930482.85137856,372239.400051436,12,-76.1481435966669,-0.62881608233365,2025-07-05,"15:15:00"," D"
"311","AV74124",2025-07-05 15:30:00,9930537.93470195,372263.894825631,12,-76.1479233908332,-0.628317876250251,2025-07-05,"15:30:00"," D"
"312","AV74124",2025-07-05 15:45:00,9930557.53719144,372310.492335122,12,-76.1475046516667,-0.628140654999881,2025-07-05,"15:45:00"," D"
"313","AV74124",2025-07-05 16:00:00,9930572.11839394,372347.971777697,12,-76.1471678525001,-0.62800883550013,2025-07-05,"16:00:00"," D"
"314","AV74125",2025-07-06 08:45:00,9930758.42894579,372317.430578682,12,-76.1474419124981,-0.626323507166274,2025-07-06,"08:45:00"," D"
"315","AV74125",2025-07-06 09:00:00,9930780.88267012,372347.681186838,12,-76.1471700525005,-0.626120462416443,2025-07-06,"09:00:00"," D"
"316","AV74125",2025-07-06 09:15:00,9930766.73051909,372351.06891596,12,-76.14713964,-0.626248482083568,2025-07-06,"09:15:00"," D"
"317","AV74125",2025-07-06 09:30:00,9930791.4152993,372368.100840165,12,-76.1469865516669,-0.626025230166875,2025-07-06,"09:30:00"," D"
"318","AV74125",2025-07-06 09:45:00,9930778.75345322,372411.389443744,11,-76.1465976081813,-0.62613984827286,2025-07-06,"09:45:00"," D"
"319","AV74125",2025-07-06 10:00:00,9930834.08480449,372421.284344551,12,-76.1465085891654,-0.625639369251579,2025-07-06,"10:00:00"," D"
"320","AV74125",2025-07-06 10:15:00,9930825.47546415,372428.014404044,12,-76.1464481333333,-0.625717258166702,2025-07-06,"10:15:00"," D"
"321","AV74125",2025-07-06 10:30:00,9930817.4710348,372433.777107307,13,-76.1463963684617,-0.625789673461814,2025-07-06,"10:30:00"," D"
"322","AV74125",2025-07-06 10:45:00,9930893.57484719,372457.947999491,13,-76.1461790323053,-0.625101325696102,2025-07-06,"10:45:00"," D"
